period,year,month,MonthYear,retail_all,retail_food,retail_nonfood,retail_online,retail_fuel
1988-01-01,1988,1,1988-01,19.4,23.3,34.9,0.0,32.6
1988-02-01,1988,2,1988-02,19.133333333333336,23.2,34.2,0.0,32.6
1988-03-01,1988,3,1988-03,19.1,23.1,34.2,0.0,32.6
1988-04-01,1988,4,1988-04,19.566666666666663,23.6,35.1,0.0,32.6
1988-05-01,1988,5,1988-05,19.6,23.5,35.3,0.0,32.6
1988-06-01,1988,6,1988-06,19.7,23.4,35.7,0.0,32.6
1988-07-01,1988,7,1988-07,20.166666666666668,23.5,37.0,0.0,32.6
1988-08-01,1988,8,1988-08,74.775,102.8,105.3,0.0,91.0
1988-09-01,1988,9,1988-09,74.775,102.8,105.3,0.0,91.0
1988-10-01,1988,10,1988-10,74.775,102.8,105.3,0.0,91.0
1988-11-01,1988,11,1988-11,74.775,102.8,105.3,0.0,91.0
1988-12-01,1988,12,1988-12,20.833333333333332,24.8,37.7,0.0,32.6
1989-01-01,1989,1,1989-01,20.666666666666668,23.8,38.2,0.0,32.6
1989-02-01,1989,2,1989-02,20.96666666666667,24.7,38.2,0.0,32.6
1989-03-01,1989,3,1989-03,20.933333333333337,24.7,38.1,0.0,32.6
1989-04-01,1989,4,1989-04,26.9,6.4,10.2,0.0,91.0
1989-05-01,1989,5,1989-05,21.566666666666663,25.5,39.2,0.0,32.6
1989-06-01,1989,6,1989-06,26.575,8.3,7.0,0.0,91.0
1989-07-01,1989,7,1989-07,21.2,25.5,38.1,0.0,32.6
1989-08-01,1989,8,1989-08,26.05,7.6,5.6,0.0,91.0
1989-09-01,1989,9,1989-09,21.666666666666668,25.8,39.2,0.0,32.6
1989-10-01,1989,10,1989-10,21.866666666666664,26.2,39.4,0.0,32.6
1989-11-01,1989,11,1989-11,21.933333333333337,26.4,39.4,0.0,32.6
1989-12-01,1989,12,1989-12,26.325,8.1,6.2,0.0,91.0
1990-01-01,1990,1,1990-01,26.95,9.3,7.5,0.0,91.0
1990-02-01,1990,2,1990-02,27.3,8.9,9.3,0.0,91.0
1990-03-01,1990,3,1990-03,22.933333333333337,27.2,41.6,0.0,32.6
1990-04-01,1990,4,1990-04,26.0,6.8,6.2,0.0,91.0
1990-05-01,1990,5,1990-05,23.4,28.0,42.2,0.0,32.6
1990-06-01,1990,6,1990-06,26.5,7.5,7.5,0.0,91.0
1990-07-01,1990,7,1990-07,27.425,9.2,9.5,0.0,91.0
1990-08-01,1990,8,1990-08,23.066666666666663,27.8,41.4,0.0,32.6
1990-09-01,1990,9,1990-09,23.133333333333336,28.1,41.3,0.0,32.6
1990-10-01,1990,10,1990-10,23.1,28.2,41.1,0.0,32.6
1990-11-01,1990,11,1990-11,25.375,7.6,2.9,0.0,91.0
1990-12-01,1990,12,1990-12,23.46666666666667,28.9,41.5,0.0,32.6
1991-01-01,1991,1,1991-01,24.975,9.8,0.0,0.0,91.0
1991-02-01,1991,2,1991-02,23.100000000000005,29.1,40.2,0.0,32.6
1991-03-01,1991,3,1991-03,24.066666666666663,29.2,43.0,0.0,32.6
1991-04-01,1991,4,1991-04,23.833333333333332,29.4,42.1,0.0,32.6
1991-05-01,1991,5,1991-05,23.666666666666668,29.3,41.7,0.0,32.6
1991-06-01,1991,6,1991-06,25.925,10.1,2.6,0.0,91.0
1991-07-01,1991,7,1991-07,25.925,10.1,2.6,0.0,91.0
1991-08-01,1991,8,1991-08,24.0,30.5,41.5,0.0,32.6
1991-09-01,1991,9,1991-09,25.225,9.0,0.9,0.0,91.0
1991-10-01,1991,10,1991-10,24.875,6.8,1.7,0.0,91.0
1991-11-01,1991,11,1991-11,25.525,5.9,5.2,0.0,91.0
1991-12-01,1991,12,1991-12,23.625,3.6,0.0,0.0,91.0
1992-01-01,1992,1,1992-01,25.625,8.8,2.7,0.0,91.0
1992-02-01,1992,2,1992-02,25.725,7.0,4.9,0.0,91.0
1992-03-01,1992,3,1992-03,24.399999999999995,31.4,41.8,0.0,32.6
1992-04-01,1992,4,1992-04,24.375,5.8,0.7,0.0,91.0
1992-05-01,1992,5,1992-05,24.833333333333332,31.4,43.1,0.0,32.6
1992-06-01,1992,6,1992-06,24.8,31.7,42.7,0.0,32.6
1992-07-01,1992,7,1992-07,22.85,1.8,0.0,0.0,91.0
1992-08-01,1992,8,1992-08,24.55,3.0,4.2,0.0,91.0
1992-09-01,1992,9,1992-09,24.075,3.3,2.0,0.0,91.0
1992-10-01,1992,10,1992-10,24.85,6.4,2.0,0.0,91.0
1992-11-01,1992,11,1992-11,24.5,6.6,0.4,0.0,91.0
1992-12-01,1992,12,1992-12,25.025,6.3,2.8,0.0,91.0
1993-01-01,1993,1,1993-01,24.9,5.2,3.4,0.0,91.0
1993-02-01,1993,2,1993-02,25.399999999999995,32.4,43.8,0.0,32.6
1993-03-01,1993,3,1993-03,24.75,3.9,4.1,0.0,91.0
1993-04-01,1993,4,1993-04,25.600000000000005,32.7,44.1,0.0,32.6
1993-05-01,1993,5,1993-05,25.566666666666663,32.9,43.8,0.0,32.6
1993-06-01,1993,6,1993-06,25.833333333333332,32.9,44.6,0.0,32.6
1993-07-01,1993,7,1993-07,25.666666666666668,32.8,44.2,0.0,32.6
1993-08-01,1993,8,1993-08,25.1,5.6,3.8,0.0,91.0
1993-09-01,1993,9,1993-09,26.066666666666663,33.3,44.9,0.0,32.6
1993-10-01,1993,10,1993-10,26.166666666666668,33.4,45.1,0.0,32.6
1993-11-01,1993,11,1993-11,25.2,4.3,5.5,0.0,91.0
1993-12-01,1993,12,1993-12,25.95,5.7,7.1,0.0,91.0
1994-01-01,1994,1,1994-01,25.35,3.3,7.1,0.0,91.0
1994-02-01,1994,2,1994-02,24.4,3.8,2.8,0.0,91.0
1994-03-01,1994,3,1994-03,24.95,3.3,5.5,0.0,91.0
1994-04-01,1994,4,1994-04,24.65,4.2,3.4,0.0,91.0
1994-05-01,1994,5,1994-05,26.8,34.2,46.2,0.0,32.6
1994-06-01,1994,6,1994-06,24.75,4.6,3.4,0.0,91.0
1994-07-01,1994,7,1994-07,26.833333333333332,34.7,45.8,0.0,32.6
1994-08-01,1994,8,1994-08,24.9,4.7,3.9,0.0,91.0
1994-09-01,1994,9,1994-09,27.26666666666667,34.7,47.1,0.0,32.6
1994-10-01,1994,10,1994-10,27.233333333333334,35.0,46.7,0.0,32.6
1994-11-01,1994,11,1994-11,24.9,5.3,3.3,0.0,91.0
1994-12-01,1994,12,1994-12,27.46666666666667,35.2,47.2,0.0,32.6
1995-01-01,1995,1,1995-01,23.7,3.6,0.2,0.0,91.0
1995-02-01,1995,2,1995-02,27.566666666666663,35.8,46.9,0.0,32.6
1995-03-01,1995,3,1995-03,25.15,7.6,2.0,0.0,91.0
1995-04-01,1995,4,1995-04,27.46666666666667,35.7,46.7,0.0,32.6
1995-05-01,1995,5,1995-05,24.825,7.1,1.2,0.0,91.0
1995-06-01,1995,6,1995-06,27.633333333333336,36.3,46.6,0.0,32.6
1995-07-01,1995,7,1995-07,24.675,5.0,2.7,0.0,91.0
1995-08-01,1995,8,1995-08,27.933333333333337,37.2,46.6,0.0,32.6
1995-09-01,1995,9,1995-09,28.166666666666668,36.8,47.7,0.0,32.6
1995-10-01,1995,10,1995-10,24.825,5.7,2.6,0.0,91.0
1995-11-01,1995,11,1995-11,25.025,5.7,3.4,0.0,91.0
